N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,0,25812.160428245323,2.098,164.882,4.2,29.469,35.193,4.29,29.469,35.19299
0,1,25812.160428245323,2.098,164.882,6.0,29.439,35.196,6.09,29.439,35.195976
0,2,25812.160428245323,2.098,164.882,8.0,29.416,35.198,8.09,29.416,35.19797
0,3,25812.160428245323,2.098,164.882,10.0,29.301,35.213,10.09,29.301,35.212982
0,4,25812.160428245323,2.098,164.882,12.0,29.228,35.221,12.09,29.228,35.22098
0,5,25812.160428245323,2.098,164.882,14.0,29.144,35.232,14.09,29.144,35.23198
0,6,25812.160428245323,2.098,164.882,16.0,29.098,35.237,16.09,29.098,35.236977
0,7,25812.160428245323,2.098,164.882,18.0,29.081,35.238,18.09,29.081,35.23798
0,8,25812.160428245323,2.098,164.882,20.0,29.066,35.237,20.09,29.066,35.236973
0,9,25812.160428245323,2.098,164.882,22.0,29.056,35.237,22.09,29.056,35.236973
0,10,25812.160428245323,2.098,164.882,24.0,29.048,35.237,24.09,29.048,35.236965
0,11,25812.160428245323,2.098,164.882,26.0,29.033,35.239,26.09,29.033,35.23897
0,12,25812.160428245323,2.098,164.882,28.0,29.024,35.24,28.09,29.024,35.239964
0,13,25812.160428245323,2.098,164.882,30.0,29.009,35.243,30.09,29.009,35.242966
0,14,25812.160428245323,2.098,164.882,32.0,28.994,35.245,32.09,28.994,35.24499
0,15,25812.160428245323,2.098,164.882,34.0,28.976,35.247,34.09,28.976,35.246975
0,16,25812.160428245323,2.098,164.882,36.0,28.96,35.249,36.09,28.96,35.24897
0,17,25812.160428245323,2.098,164.882,38.0,28.945,35.253,38.09,28.945,35.252983
0,18,25812.160428245323,2.098,164.882,40.0,28.932,35.258,40.09,28.932,35.25796
0,19,25812.160428245323,2.098,164.882,42.0,28.921,35.263,42.09,28.921,35.262985
0,20,25812.160428245323,2.098,164.882,44.0,28.91,35.269,44.09,28.91,35.26897
